12	15846407,19394188,451586190,2735631,949521,14293310,20609518,90484508,418,14458660,18215973,9624742,14331688,428333,46220856,5763262,14693823,22017602,17220934,657863,62581962,61133,8161232,18206161,939091,16160352,20713061,813286,14824849,10350,7846,31353077,115485051,15808765
265	7388802,6068612,19550535,8732012,4202701,14563376,15430929,19372697,15319993,16971994,14205820,682463
418	28163,48263,8162312,3274711,12,696333,5478542,126061711,23095315,15245806,5751832,161691033,922,14615324,14167197,418979615,5387302,14091431,9270952,419356073,4733771,23543726,15594928,16302770,27052339,224879926,6001592,14814905,7482,14572992,175577355,657863,14726984,30348363,15693261,4558,45598477,24239440,18206161,83941972,23543993,14320217,165964253,283732191,786148,19335591,16529006,1980271,20941681,8253682,37855605,254073,7101692
922	30348363,176854913,18479089,15245806,48263,8162312,12250252,45598477,5478542,126061711,23095315,16529006,1295001,5751832,161691033,202783087,14615324,14167197,14759966,418,5387302,19335591,9270952,419356073,7052972,165964253,15594928,224879926,6001592,15699001,7482,229969254,29999221,14572992,4733771,83941972,14726984,852041,43083,21871522,4558,15693261,18206161,5750612,21689294,3274711,14320217,14814905,15144539,1282781,29087161,786148,696333,37434214,51303,95495913,14091431,21451151,262922606,1980271,25214064,20941681,8253682,23543993,254073,195785338,7101692,128662158,55630037
3302	33923,5905672,2727051,11661,33423,949521,24026819,16655768,1295001,1066011,36253,14110750,6740642,639013,18389670,14763,10545,6531772,14220606,7646402,14153283,7738402,14257869,18638800,8207832,16601823,4833,1504011,14601788,13212522,799212,60273,6503412,768382,12534,15736190
4558	176854913,28163,15174406,48263,8162312,12250252,45598477,126061711,262922606,5751832,1295001,922,202783087,14167197,14759966,418,14091431,9270952,23543726,16302770,27052339,6001592,14814905,7482,14726984,852041,4733771,15693261,696333,18206161,83941972,23543993,14320217,165964253,21871522,786148,51303,15245806,1980271,20941681,8253682,254073,2891131,7101692
4833	82433,11133442,33923,13889622,18742918,60033,5905672,17673,1504011,14733,8308622,949521,14334873,1295001,20469167,36253,12830,646533,8501792,656673,7738402,68003,14503,15062954,14763,12161,95028210,12591,15153,2727051,4664501,14335160,1768351,14601788,5827,9085252,12741,657863,849101,61133,18638800,7552082,9463382,6740642,12555,15396961,3302,793830,35943,14477161,13212522,749863,799212,22253,60273,11250,34163,14112756,12534,11661,12158,13567
5334	98035778,4257571,6068612,736293,106894107,8732012,682463,8708012,43814349,4050671,17791088,4519121,16571907,14411797,59727190,14740219,33423,5877292
5827	771712,12161,6008962,615813,82433,646533,17673,11661,15454228,7400342,18214171,14233500,12830,1768351,8501792,14538913,68003,14503,648873,15062954,14763,5569522,9655342,60463,18214320,849101,3325171,18359862,25993,11000562,14108346,15351100,11250,3339331,50373,1729441,5868362,23487693,16866701,48903,13889622,9463382,58063,12741,12496,9650402,793830,14477161,22253,8791662,95028210,34163,14112756,12534,60033,4833,11818,15736190,13567
7482	30348363,176854913,28163,15174406,48263,8162312,25957130,12250252,696333,5478542,126061711,23095315,15245806,161691033,5751832,1295001,922,14615324,14167197,14759966,418,21689294,5387302,19335591,9270952,419356073,7052972,16302770,27052339,6001592,15699001,14572992,4733771,14726984,852041,43083,21871522,4558,15693261,18206161,83941972,55630037,3274711,14320217,14814905,21451151,165964253,29087161,786148,37434214,51303,17811689,14091431,16529006,1980271,20941681,8253682,23543993,95495913,254073,195785338,7101692,128662158,2537471
7846	15485441,16303106,15249156,926981,15846407,12,14506253,33423,19029137,1835411,20333461,14075928,12044602,734493,14596798,7282592,3611041,18396070,749863,14331688,2100521,14763,428333,74673,14348594,7350962,14326840,12611642,3829151,14293310,7861312,1183041,18393773,30313925,11864262,657863,917321,13790282,14681605,5763262,14166096,2735631,11348282,14325471,20713061,15858016,14500709,813286,8637672,17241895,10350,6813682,14413715,31353077,7861622,14740219,18498684,30973
10350	15485441,6068612,926981,12,930061,2735631,14413715,18396070,3829151,7282592,4620451,93905958,749863,2100521,18393773,23045297,14348594,8464692,79797834,14596798,14693823,7861312,1183041,30313925,11864262,657863,139162440,917321,62581962,15666380,405056781,4519121,4257571,14506253,83883736,16971994,3442781,15473958,14500709,813286,7846,10810102,115485051,18498684,8914942,19802879
10545	48903,25993,1504011,33423,949521,755859,7104532,16655768,1295001,8501792,6740642,13265572,8207832,714033,2727051,15736190,10336822,14112756,13721662,1764931,9085252,4833,14257869,61133,18638800,7552082,13889622,12555,1271901,15396961,3302,793830,22253,6503412,14544190,644603,768382
11250	60033,11133442,33923,646533,18742918,12161,5905672,17673,12555,11661,33423,949521,13889622,36253,12830,615813,8501792,14538913,7738402,68003,8115462,14503,648873,9655342,12591,714033,2727051,4664501,10336822,14335160,15351100,5827,12741,656673,849101,61133,12496,7552082,18166611,82433,9463382,6740642,14733,1235161,18638800,9796452,35943,13212522,799212,60273,34163,14112756,12534,4833,2334221,12158,193563775
11661	15820160,12161,33923,60033,17673,2727051,16866701,140118545,15454228,7400342,1295001,36253,12830,8501792,656673,7738402,68003,14503,9655342,60463,82433,24763,14601788,782912,5827,12741,23487693,61133,12496,18166611,10951232,58063,4833,949521,15351100,13212522,644463,60273,11250,34163,14112756,12534,12158
11818	15820160,60033,11133442,33923,646533,18742918,12161,11794312,17673,12496,2727051,11661,140118545,15454228,7400342,1295001,14334873,8231962,55963,36253,12830,1768351,8501792,656673,7738402,68003,8207832,13276422,18389670,15153,648873,48903,11250,9655342,12591,18214320,714033,3325171,17473973,10336822,25993,14108346,24763,15351100,13721662,19903,50373,5827,9085252,12741,1729441,61133,15212750,23487693,18638800,13889622,37902551,14733,16601823,4833,9796452,949521,1504011,14477161,14503,799212,22253,644463,60273,11000562,34163,14112756,14220606,12534,14760567,16866701,12158,13567
12158	60033,14763,615813,18742918,12161,5905672,17673,2727051,11661,949521,7400342,14334873,12591,12830,646533,8501792,656673,7738402,68003,15153,648873,15062954,48903,11250,9655342,60463,714033,3325171,4664501,10336822,24763,13721662,10951232,15643073,6545732,12741,1729441,61133,15212750,23487693,7552082,18166611,6740642,14733,4833,9796452,35943,14477161,14503,799212,644463,60273,95028210,34163,14112756,12277182,12534,16866701,644603,15736190,13567
12161	60033,33923,646533,82433,17673,11661,33423,949521,18214171,12830,656673,7738402,68003,714033,648873,48903,9655342,12591,15153,34163,4664501,25993,14108346,24763,5827,12741,5868362,61133,14257869,14733,1235161,14763,4833,11963132,60463,14503,60273,11250,3325171,14112756,15736190,2334221,12158,13567
12496	12161,17673,1504011,11661,949521,7400342,60463,656673,68003,714033,648873,9655342,12591,15153,4664501,24763,5827,12741,849101,61133,7552082,13889622,1235161,58063,35943,2276201,13212522,14503,22253,644463,60273,11250,14112756,16866701,12158,13567
12512	4833,1764931,48903,5905672,5868362,34163,7816912,755859,15454228,644603
12534	60033,11133442,33923,9463382,5905672,17673,1504011,16866701,949521,1295001,20469167,36253,615813,646533,656673,7738402,68003,14503,9655342,12591,15153,4664501,14335160,2727051,8207832,12741,849101,11661,18638800,7552082,13889622,6740642,12555,4833,793830,35943,14477161,13212522,749863,799212,8752622,60273,11250,34163,14112756,12158,193563775
12555	60033,11133442,33923,9463382,18742918,48903,5905672,17673,7772042,2727051,16866701,8308622,949521,755859,16655768,1295001,20469167,36253,14110750,8501792,656673,7738402,68003,18638800,10545,9655342,12591,15153,34163,17473973,25993,14335160,14112756,14601788,13721662,4664501,10951232,15643073,7646402,24026819,9085252,12741,61133,4833,6740642,14257869,6810832,7552082,13889622,8207832,15396961,793830,35943,1504011,14477161,13212522,5259111,799212,22253,60273,11250,3325171,6503412,14220606,12534,12277182,11661,17346623,15736190
12591	82433,33923,9463382,18742918,60033,25993,12555,20469167,656673,949521,12069912,18214171,36253,12830,646533,12161,14538913,7738402,68003,18638800,14503,648873,11818,5569522,9655342,60463,10545,849101,34163,4664501,10336822,14108346,1768351,14601788,637373,17346623,8207832,11250,2727051,9085252,12741,4833,5868362,6740642,61133,12496,13889622,14733,668253,15396961,9796452,793830,1504011,13212522,799212,22253,8752622,7372912,11000562,3325171,14112756,12158,12534,11661,13567,11963132,15736190,193563775
12741	82433,11133442,13889622,2334221,12069912,12830,8501792,7738402,639013,11818,9655342,60463,10336822,33501239,14601788,13721662,17346623,10951232,1504011,7552082,9463382,1271901,15396961,7372912,668253,60033,33923,18742918,2727051,33423,1295001,14538913,6740642,13265572,14503,648873,4664501,14335160,14108346,24763,5827,14257869,61133,180505807,4833,3302,22253,3325171,12534,11963132,13567,48903,5905672,17673,12555,949521,18214171,646533,656673,749863,12591,15153,356663,14220606,9085252,14733,9796452,793830,14477161,13212522,644463,60273,34163,16866701,12158,12161,615813,25993,19661706,11661,8308622,16655768,14334873,36253,1768351,68003,15062954,14763,95028210,20469167,849101,17473973,15643073,18638800,8207832,799212,8752622,11250,14112756,15292410,644603
